0,50,100,150,200,250,300,350
0,0.23672,0.47344,0.71016,0.94688,1.1836,1.42032,1.65704
0,0.378791111,0.757582222,1.136373333,1.515164444,1.893955556,2.272746667,2.651537778
0,0.520862222,1.041724444,1.562586667,2.083448889,2.604311111,3.125173333,3.646035556
0,0.662933333,1.325866667,1.9888,2.651733333,3.314666667,3.9776,4.640533333
0,0.805004444,1.610008889,2.415013333,3.220017778,4.025022222,4.830026667,5.635031111
0,0.947075556,1.894151111,2.841226667,3.788302222,4.735377778,5.682453333,6.629528889
0,1.089146667,2.178293333,3.26744,4.356586667,5.445733333,6.53488,7.624026667
0,1.231217778,2.462435556,3.693653333,4.924871111,6.156088889,7.387306667,8.618524444
0,1.373288889,2.746577778,4.119866667,5.493155556,6.866444444,8.239733333,9.613022222
0,1.51536,3.03072,4.54608,6.06144,7.5768,9.09216,10.60752
